Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
Q9BU76	MMTAG2	-0.4017	0.0355	0.3407	0.0426	Up transcriptome/Down proteome
P28070	PSMB4	-0.1632	0.0355	-0.2143	0.008	Down/Down
P21926	CD9	0.5686	0.0357	-0.2868	0.0014	Down transcriptome/Up proteome
P08579	SNRPB2	0.33	0.0357	-0.7024	0	Down transcriptome/Up proteome
Q9H0W9	C11orf54	0.3415	0.0358	-0.6393	0.0059	Down transcriptome/Up proteome
Q96DB2	HDAC11	0.5713	0.0359	-0.4439	0.0036	Down transcriptome/Up proteome
O75150	RNF40	-0.3243	0.0359	0.8369	0	Up transcriptome/Down proteome
Q8IX01	SUGP2	-0.1653	0.036	0.3711	2e-4	Up transcriptome/Down proteome
Q9Y5R8	TRAPPC1	-0.4724	0.0361	0.2242	0.0231	Up transcriptome/Down proteome
Q8IWC1	MAP7D3	0.3272	0.0362	0.5469	0.0038	Up/Up
P10909	CLU	-0.4597	0.0363	0.1533	0.0067	Up transcriptome/Down proteome
P27105	STOM	-1.2789	0.0363	-2.2374	0	Down/Down
Q96C90	PPP1R14B	0.1807	0.0363	0.654	0	Up/Up
O15182	CETN3	-0.3969	0.0365	-0.7448	0.0072	Down/Down
Q7L5N7	LPCAT2	-0.3	0.0366	1.3621	0	Up transcriptome/Down proteome
Q9NUJ1	ABHD10	0.3793	0.0367	0.3747	0.0036	Up/Up
Q9UKM7	MAN1B1	-0.3241	0.0367	-0.465	1e-4	Down/Down
Q96SZ5	ADO	0.2167	0.0368	0.3345	0.0013	Up/Up
O95297	MPZL1	-0.5488	0.0372	-0.4575	0	Down/Down
Q8NBU5	ATAD1	-0.33	0.0373	-0.227	0.0097	Down/Down
Q9NXJ5	PGPEP1	0.6057	0.0374	0.7397	0.0262	Up/Up
Q96L73	NSD1	0.4738	0.0376	-0.3436	0.0207	Down transcriptome/Up proteome
Q712K3	UBE2R2	-0.3035	0.0377	0.3955	0	Up transcriptome/Down proteome
Q9NRW1	RAB6B	1.3027	0.0377	0.5757	0	Up/Up
Q99613	EIF3C	-0.1778	0.0377	0.2615	0.0271	Up transcriptome/Down proteome
Q9HAU0	PLEKHA5	-0.7816	0.0378	-0.4747	0	Down/Down
Q86YV9	HPS6	0.4409	0.038	0.5838	0	Up/Up
Q7Z4G1	COMMD6	0.3559	0.038	-0.7165	0	Down transcriptome/Up proteome
Q9NQE9	HINT3	0.332	0.038	-0.7332	0	Down transcriptome/Up proteome
P13995	MTHFD2	-0.1683	0.0381	-0.3008	2e-4	Down/Down
Q13371	PDCL	-1.5313	0.0383	-0.6494	6e-4	Down/Down
Q96AT9	RPE	1.0314	0.0385	0.5716	0	Up/Up
Q969X6	UTP4	-0.3431	0.0385	0.9096	0	Up transcriptome/Down proteome
P17676	CEBPB	0.4231	0.0387	-0.2478	0.0351	Down transcriptome/Up proteome
Q14694	USP10	-0.1524	0.0387	0.3644	0	Up transcriptome/Down proteome
Q9HD42	CHMP1A	-0.3313	0.0388	0.5629	0	Up transcriptome/Down proteome
P13987	CD59	0.2999	0.0388	0.4058	0	Up/Up
P51397	DAP	0.5758	0.0389	0.2631	0	Up/Up
Q69YQ0	SPECC1L	-0.2286	0.0389	0.3279	5e-4	Up transcriptome/Down proteome
Q9BYN0	SRXN1	-0.8895	0.0391	0.3995	0	Up transcriptome/Down proteome
Q8IYA6	CKAP2L	-0.7124	0.0391	-0.2612	0.019	Down/Down
Q96FN4	CPNE2	0.8504	0.0391	0.4786	1e-4	Up/Up
Q7Z7A4	PXK	-0.7552	0.0391	0.4733	0	Up transcriptome/Down proteome
P78559	MAP1A	-0.4903	0.0391	-0.5595	7e-4	Down/Down
Q6PHR2	ULK3	0.4776	0.0394	0.4699	0.003	Up/Up
P50213	IDH3A	0.2289	0.0396	0.4458	0.0011	Up/Up
Q9ULX3	NOB1	-0.2441	0.0396	0.723	0	Up transcriptome/Down proteome
P06400	RB1	-0.2663	0.0403	0.4992	0.0236	Up transcriptome/Down proteome
Q92817	EVPL	0.1442	0.0403	0.2851	1e-4	Up/Up
O60318	MCM3AP	-0.341	0.0404	0.3784	0.0136	Up transcriptome/Down proteome
Q9H6E4	CCDC134	-0.3011	0.0406	0.5481	0.0151	Up transcriptome/Down proteome
P07203	GPX1	0.2247	0.0406	0.2985	0.0186	Up/Up
Q93050	ATP6V0A1	0.3045	0.0408	0.4605	1e-4	Up/Up
P27449	ATP6V0C	0.3369	0.0408	0.5494	0	Up/Up
Q15388	TOMM20	-0.3974	0.0408	-0.4648	0	Down/Down
Q9Y3A5	SBDS	-0.311	0.0408	0.3316	0.0018	Up transcriptome/Down proteome
P29597	TYK2	-1.4451	0.0409	0.8717	0	Up transcriptome/Down proteome
P22695	UQCRC2	-0.1874	0.0411	-0.7731	0	Down/Down
Q13641	TPBG	0.6656	0.0412	0.7444	0	Up/Up
Q9Y624	F11R	0.2189	0.0415	0.9358	0	Up/Up
O94992	HEXIM1	-0.1464	0.0416	-0.3094	0	Down/Down
Q9NV66	TYW1	-0.692	0.0417	-0.7869	0	Down/Down
O94889	KLHL18	-0.4742	0.0417	0.2694	0.0337	Up transcriptome/Down proteome
Q8N4H5	TOMM5	0.3501	0.0419	0.4936	0	Up/Up
Q9P2R6	RERE	-0.3585	0.0419	-0.6429	0	Down/Down
P26373	RPL13	-0.3769	0.0421	0.2578	0.023	Up transcriptome/Down proteome
Q66PJ3	ARL6IP4	-0.2994	0.0421	-0.5725	0	Down/Down
Q9H1K1	ISCU	-0.5684	0.0421	-0.6664	0	Down/Down
Q96I25	RBM17	-0.1731	0.0421	0.2672	0.0024	Up transcriptome/Down proteome
Q9NVX2	NLE1	-0.3204	0.0421	0.659	0	Up transcriptome/Down proteome
Q8NCL4	GALNT6	-0.5028	0.0421	-0.8492	0	Down/Down
O94762	RECQL5	1.195	0.0421	0.3515	0.0394	Up/Up
P50151	GNG10	-0.5279	0.0425	-0.5951	0	Down/Down
Q9Y342	PLLP	0.5362	0.0427	0.2655	3e-4	Up/Up
Q9H3Y8	PPDPF	0.4373	0.0427	0.5605	0	Up/Up
Q15645	TRIP13	0.1385	0.0427	0.4488	0	Up/Up
Q11201	ST3GAL1	-0.8023	0.0428	1.3294	0	Up transcriptome/Down proteome
P13051	UNG	-1.0634	0.0429	0.9161	0	Up transcriptome/Down proteome
O95298	NDUFC2	-0.6367	0.0429	-0.4136	0	Down/Down
Q53HC5	KLHL26	0.5432	0.0433	0.4087	0.0306	Up/Up
Q96IJ6	GMPPA	0.3133	0.0434	0.4909	0	Up/Up
O14949	UQCRQ	0.1863	0.0434	-0.7524	0	Down transcriptome/Up proteome
Q9Y6X4	FAM169A	-1.5188	0.0434	-0.7608	0.0044	Down/Down
Q9P021	CRIPT	-0.5123	0.0434	-0.4083	0.0262	Down/Down
P14866	HNRNPL	-0.218	0.0434	0.1447	0.015	Up transcriptome/Down proteome
Q68CQ4	UTP25	-0.2622	0.0434	0.2768	0.0036	Up transcriptome/Down proteome
Q96T51	RUFY1	-0.3348	0.0436	-0.307	0.0019	Down/Down
Q00688	FKBP3	-0.1261	0.0436	-0.836	0	Down/Down
O75940	SMNDC1	0.2637	0.0437	0.6245	0	Up/Up
P22223	CDH3	-0.3746	0.0437	-0.3501	1e-4	Down/Down
Q9UPR3	SMG5	-0.472	0.0438	0.6443	0	Up transcriptome/Down proteome
P09417	QDPR	0.2151	0.0438	0.6988	0	Up/Up
Q8WTW3	COG1	-0.3682	0.0439	0.4287	0	Up transcriptome/Down proteome
P38571	LIPA	-0.6476	0.0441	-0.6026	0	Down/Down
Q13227	GPS2	-0.9344	0.0441	0.4873	0	Up transcriptome/Down proteome
P62380	TBPL1	-0.4076	0.0442	0.3423	0.0227	Up transcriptome/Down proteome
O14737	PDCD5	-0.1521	0.0442	0.3824	0	Up transcriptome/Down proteome
Q2M2I8	AAK1	0.2102	0.0442	0.3883	0.0274	Up/Up
Q5VTQ0	TTC39B	0.4449	0.0445	-1.1253	1e-4	Down transcriptome/Up proteome
Q06710	PAX8	-0.1599	0.0447	0.5941	0	Up transcriptome/Down proteome
Q99832	CCT7	-0.1037	0.0451	0.4414	0	Up transcriptome/Down proteome
Q86WQ0	NR2C2AP	-0.6106	0.0451	0.6599	0.0068	Up transcriptome/Down proteome
O94876	TMCC1	-0.4862	0.0451	0.9268	0	Up transcriptome/Down proteome
P09668	CTSH	-0.5055	0.0451	-0.611	1e-4	Down/Down
Q9Y6X8	ZHX2	0.6022	0.0452	-1.0114	0	Down transcriptome/Up proteome
P17302	GJA1	-1.3696	0.0452	-2.5374	0	Down/Down
Q13363	CTBP1	-0.2988	0.0452	0.763	0	Up transcriptome/Down proteome
P10619	CTSA	0.2682	0.0453	0.6459	0.0047	Up/Up
Q96CF2	CHMP4C	-1.5943	0.0453	0.462	4e-4	Up transcriptome/Down proteome
Q9Y487	ATP6V0A2	-1.0391	0.0455	-0.4289	0.001	Down/Down
Q8N543	OGFOD1	-0.7857	0.0455	0.5265	0	Up transcriptome/Down proteome
Q9BQC6	MRPL57	-0.5971	0.0455	0.5176	0	Up transcriptome/Down proteome
Q13619	CUL4A	-0.1974	0.0457	0.5766	0	Up transcriptome/Down proteome
Q8WYA6	CTNNBL1	-0.2349	0.0457	0.286	0.0106	Up transcriptome/Down proteome
P52732	KIF11	-1.2745	0.046	-0.1925	0.0267	Down/Down
P13489	RNH1	0.2567	0.0461	0.6254	0	Up/Up
Q8NEZ3	WDR19	-1.035	0.0463	-0.8865	0.0053	Down/Down
Q9H0D6	XRN2	-0.1369	0.0463	-0.3338	0	Down/Down
Q96KG9	SCYL1	0.1442	0.0467	0.8148	0	Up/Up
Q8WVM7	STAG1	-0.6529	0.0468	0.6215	0	Up transcriptome/Down proteome
Q9NRY2	INIP	-0.5377	0.047	-0.5923	0	Down/Down
P49770	EIF2B2	-0.2366	0.0471	0.5799	0	Up transcriptome/Down proteome
Q9BT23	LIMD2	0.6644	0.0471	0.8246	0	Up/Up
P35611	ADD1	-0.3396	0.0471	0.3237	0	Up transcriptome/Down proteome
Q9BTE1	DCTN5	-0.3573	0.0472	0.3791	0	Up transcriptome/Down proteome
P16435	POR	0.155	0.0473	-0.9253	0	Down transcriptome/Up proteome
O14733	MAP2K7	0.4876	0.0474	0.2303	0.019	Up/Up
P35520	CBS	0.1246	0.0475	-0.5054	0	Down transcriptome/Up proteome
P24385	CCND1	-1.818	0.0478	1.2469	0	Up transcriptome/Down proteome
Q8IYB3	SRRM1	0.2193	0.0479	0.6631	0	Up/Up
P78423	CX3CL1	-1.9282	0.048	-0.8136	0	Down/Down
P98179	RBM3	-0.2886	0.048	-0.3268	1e-4	Down/Down
P51636	CAV2	0.6999	0.048	1.6072	0	Up/Up
Q9Y224	RTRAF	-0.1156	0.0481	-0.2487	7e-4	Down/Down
Q9NS91	RAD18	-1.36	0.0482	0.2127	0.0484	Up transcriptome/Down proteome
Q8WXF8	DEDD2	-0.3737	0.0483	0.5527	0	Up transcriptome/Down proteome
Q13946	PDE7A	-0.3438	0.0485	-0.797	0	Down/Down
Q5R3I4	TTC38	-0.3761	0.0485	-0.5143	2e-4	Down/Down
Q14847	LASP1	0.2366	0.0486	0.4454	0	Up/Up
Q8TAD4	SLC30A5	-0.436	0.0486	-0.6675	0.0027	Down/Down
Q9UHX1	PUF60	-0.1147	0.0486	0.6166	0	Up transcriptome/Down proteome
P54198	HIRA	-0.8584	0.0486	0.4071	0	Up transcriptome/Down proteome
Q96DT7	ZBTB10	-0.5515	0.0487	-0.4819	0.0092	Down/Down
Q7Z388	DPY19L4	-1.6548	0.0491	-0.663	0.0012	Down/Down
Q6ISB3	GRHL2	-0.2555	0.0491	-3.0288	0.0079	Down/Down
Q8TEP8	CEP192	-0.4516	0.0491	-0.5854	8e-4	Down/Down
Q16649	NFIL3	-0.7783	0.0492	-1.3681	0	Down/Down
O94817	ATG12	0.3713	0.0492	-0.7277	0	Down transcriptome/Up proteome
P55265	ADAR	-0.2158	0.0494	-0.475	0.0036	Down/Down
Q02543	RPL18A	-0.1814	0.0497	0.345	1e-4	Up transcriptome/Down proteome
Q9HCK8	CHD8	-0.1427	0.0498	0.7344	0	Up transcriptome/Down proteome
P07355	ANXA2	0.1408	0.0498	0.6998	0	Up/Up
Q9Y5I7	CLDN16	3.1522	0.0499	0.5246	0	Up/Up
O00217	NDUFS8	-0.2483	0.0499	-0.2882	5e-4	Down/Down
